Date,Open,High,Low,Close,Adj Close,Volume,Log_Return
2004-08-20,2.527777910232544,2.7297298908233643,2.515014886856079,2.7104599475860596,2.707352638244629,456686856,0.07643292765946272
2004-08-23,2.771522045135498,2.8398399353027344,2.7289791107177734,2.7377378940582275,2.7345993518829346,365122512,0.010013650459063566
2004-08-24,2.7837839126586914,2.792793035507202,2.59184193611145,2.6243739128112793,2.6213653087615967,304946748,-0.04228963511547452
2004-08-25,2.626626968383789,2.7027029991149902,2.599600076675415,2.6526529788970947,2.6496119499206543,183772044,0.01071790512923742
2004-08-26,2.626375913619995,2.701451063156128,2.6191189289093018,2.7004499435424805,2.697354316711426,141897960,0.01785814156319007
2004-08-27,2.705204963684082,2.7182180881500244,2.644895076751709,2.6564059257507324,2.653360605239868,124235640,-0.016444351456070056
2004-08-30,2.6346349716186523,2.63988995552063,2.5528030395507812,2.5528030395507812,2.5498764514923096,103935960,-0.039782066772345526
2004-08-31,2.5600600242614746,2.5953450202941895,2.5565569400787354,2.561811923980713,2.55887508392334,98357544,0.00352280428183397
2004-09-01,2.5700700283050537,2.576827049255371,2.49424409866333,2.508759021759033,2.505882978439331,182765052,-0.020926573697166464
2004-09-02,2.482232093811035,2.561811923980713,2.47597599029541,2.540290117263794,2.5373780727386475,302373324,0.01249007666395324
2004-09-03,2.526276111602783,2.546046018600464,2.485485076904297,2.5027530193328857,2.4998838901519775,103048848,-0.014886960180265299
2004-09-07,2.527777910232544,2.5525529384613037,2.4927430152893066,2.5420420169830322,2.539127826690674,116950932,0.015576368012083652
2004-09-08,2.5210208892822266,2.5783278942108154,2.515014886856079,2.5600600242614746,2.5571253299713135,99712188,0.007063003458814041
2004-09-09,2.5658159255981445,2.570319890975952,2.5275280475616455,2.560309886932373,2.5573747158050537,81234684,9.759555478627763e-05
2004-09-10,2.5425429344177246,2.6666669845581055,2.5350348949432373,2.6358859539031982,2.632864236831665,173977848,0.029091050123924055
2004-09-13,2.6684179306030273,2.712963104248047,2.6641640663146973,2.690190076828003,2.687106132507324,156882960,0.020392500775822234
2004-09-14,2.688939094543457,2.8028030395507812,2.672421932220459,2.7900400161743164,2.786841630935669,216579204,0.03644408679696103
2004-09-15,2.7667670249938965,2.8586089611053467,2.7577579021453857,2.8028030395507812,2.7995898723602295,214261524,0.004564063537807623
2004-09-16,2.8113110065460205,2.897897958755493,2.794044017791748,2.852102041244507,2.848832368850708,185326488,0.017436278766452276
2004-09-17,2.863363027572632,2.940190076828003,2.8415920734405518,2.940190076828003,2.936819553375244,189450360,0.030417950493567766
2004-09-20,2.9266769886016846,3.0430428981781006,2.9221720695495605,2.9869871139526367,2.98356294631958,212575212,0.01579099393830369
2004-09-21,2.9982481002807617,3.0135140419006348,2.9406909942626953,2.948949098587036,2.945568561553955,144575280,-0.012816356064483315
2004-09-22,2.9379379749298096,2.9947450160980225,2.923172950744629,2.9624619483947754,2.9590659141540527,151624224,0.004571792838179628
2004-09-23,2.9739739894866943,3.068819046020508,2.9284279346466064,3.023524045944214,3.0200579166412354,170713116,0.020402391760562567
2004-09-24,3.026526927947998,3.1056060791015625,2.996997117996216,2.998749017715454,2.9953112602233887,182469348,-0.008227846108570799
2004-09-27,2.9919919967651367,3.025024890899658,2.9479479789733887,2.959459066390991,2.956066370010376,141322536,-0.013188703812380069
2004-09-28,3.035536050796509,3.188188076019287,3.008258104324341,3.1746749877929688,3.1710355281829834,338581080,0.07019875726076846
2004-09-29,3.170670986175537,3.3788790702819824,3.1589090824127197,3.280280113220215,3.276519775390625,610329060,0.032723558066230174
2004-09-30,3.25075101852417,3.3108110427856445,3.2282280921936035,3.2432429790496826,3.239525079727173,275160564,-0.011355070443527826
